"X","all","all_genus","mam","mam_genus","amph","amph_genus","rep","rep_genus","tree_height","tree_density","elevation","temp","precip","ID","country","island","BGR","vert_all","mam_all","amp_all","rep_all","x","y"
1,0,0,0,0,0,0,0,0,11.24797,7593.405,1128.48,7.361988,163.4562,55,"New Zealand","South Island",0,2,0,0,2,172.0894,-42.943377493
2,0,0,0,0,0,0,0,0,30.50139,81379.16,873.6602,8.408183,238.9204,55,"New Zealand","South Island",0,5,1,0,4,172.3994,-40.983377493
3,0,0,0,0,0,0,0,0,26.65929,80632.88,363.8125,10.46209,360.1902,55,"New Zealand","South Island",0,3,1,0,2,171.5094,-42.713377493
4,0,0,0,0,0,0,0,0,32.95591,89565.59,794.1794,8.693134,343.4039,55,"New Zealand","South Island",0,0,0,0,3,171.3494,-42.293377493
5,0,0,0,0,0,0,0,0,26.10165,63403.09,1043.575,8.269448,294.9778,55,"New Zealand","South Island",0,5,1,0,4,171.6194,-41.913377493
6,0,0,0,0,0,0,0,0,20.75944,14309.26,1205.209,6.832652,287.9635,55,"New Zealand","South Island",0,1,0,0,1,171.7394,-42.703377493
7,0,0,0,0,0,0,0,0,30.76877,90994.9,825.1343,8.342005,287.2129,55,"New Zealand","South Island",0,3,2,0,1,171.1494,-42.953377493
8,0,0,0,0,0,0,0,0,21.56728,44614.4,1246.421,6.462217,156.9253,55,"New Zealand","South Island",0,2,1,0,1,172.5694,-42.303377493
9,0,0,0,0,0,0,0,0,30.48319,79649.11,491.8439,9.788222,209.7495,55,"New Zealand","South Island",0,6,1,0,5,172.2294,-41.323377493
10,0,0,0,0,0,0,0,0,18.07259,30060.97,1384.255,7.01889,164.3338,55,"New Zealand","South Island",0,4,1,0,3,172.2994,-42.583377493
11,0,0,0,0,0,0,0,0,29.81563,70306.78,628.908,8.037636,253.5111,55,"New Zealand","South Island",0,3,1,0,2,171.0094,-43.083377493
12,0,0,0,0,0,0,0,0,31.17218,59001.04,1234.88,7.307913,182.7376,55,"New Zealand","South Island",0,4,1,0,3,172.2894,-42.353377493
13,0,0,0,0,0,0,0,0,20.05322,49931.73,1157.848,7.457457,244.0093,55,"New Zealand","South Island",0,2,0,0,2,171.8294,-42.863377493
14,0,0,0,0,0,0,0,0,28.74665,83923.52,908.8097,6.788735,267.8842,55,"New Zealand","South Island",0,4,2,0,2,170.8294,-43.143377493
15,0,0,0,0,0,0,0,0,29.12944,86670.29,671.8411,9.297856,301.5647,55,"New Zealand","South Island",0,0,0,0,3,171.5194,-42.193377493
16,0,0,0,0,0,0,0,0,20.56114,17047.84,1096.202,7.933504,128.3492,55,"New Zealand","South Island",0,9,1,0,8,173.0194,-41.713377493
17,0,0,0,0,0,0,0,0,27.9371,95576.02,595.8905,9.219936,278.2684,55,"New Zealand","South Island",0,4,2,0,2,170.8194,-43.043377493
18,0,0,0,0,0,0,0,0,29.41514,75804.69,892.5471,8.146038,216.8574,55,"New Zealand","South Island",0,5,1,0,4,172.1394,-42.013377493
19,0,0,0,0,0,0,0,0,27.11781,64426.67,745.6284,8.389775,200.1579,55,"New Zealand","South Island",0,4,1,0,3,172.1794,-42.153377493
20,0,0,0,0,0,0,0,0,32.93917,78354.1,929.9194,8.625543,244.4779,55,"New Zealand","South Island",0,5,1,0,4,172.2594,-41.013377493
21,0,0,0,0,0,0,0,0,31.68914,48553.39,1277.736,5.690044,221.4935,55,"New Zealand","South Island",0,4,0,0,4,171.6294,-43.113377493
22,0,0,0,0,0,0,0,0,28.63429,81703.88,578.7062,10.25757,237.0434,55,"New Zealand","South Island",0,0,0,0,4,172.2694,-40.823377493
23,0,0,0,0,0,0,0,0,28.94278,68623.69,1022.636,7.34189,266.9704,55,"New Zealand","South Island",0,2,0,0,2,171.6094,-42.983377493
24,0,0,0,0,0,0,0,0,28.1534,79482.99,754.6049,7.912817,215.6032,55,"New Zealand","South Island",0,6,1,0,5,172.3994,-41.383377493
25,0,0,0,0,0,0,0,0,5.666448,34238.43,804.7784,7.359985,317.3525,55,"New Zealand","South Island",0,2,0,0,2,171.4294,-42.873377493
26,0,0,0,0,0,0,0,0,29.70458,866.3931,1896.799,4.655179,191.7188,55,"New Zealand","South Island",0,2,1,0,1,172.6394,-42.083377493
27,0,0,0,0,0,0,0,0,31.59081,64108.21,1115.37,7.668545,320.0033,55,"New Zealand","South Island",0,5,2,0,3,171.5494,-42.063377493
28,0,0,0,0,0,0,0,0,27.8465,88293.12,781.8162,8.08772,317.5913,55,"New Zealand","South Island",0,1,0,0,1,171.6594,-42.743377493
29,0,0,0,0,0,0,0,0,23.84208,37492.12,1362.837,7.106539,163.613,55,"New Zealand","South Island",0,4,1,0,3,172.2894,-42.593377493
30,0,0,0,0,0,0,0,0,28.50641,73926.85,780.7532,7.505454,207.0463,55,"New Zealand","South Island",0,7,1,0,6,172.6394,-41.223377493
31,0,0,0,0,0,0,0,0,27.09294,93703.98,521.2198,8.778521,354.361,55,"New Zealand","South Island",0,3,1,0,2,171.4594,-42.803377493
32,0,0,0,0,0,0,0,0,30.14919,75894.85,1202.098,7.654501,211.2678,55,"New Zealand","South Island",0,6,1,0,5,172.4694,-41.373377493
33,0,0,0,0,0,0,0,0,30.46646,73837.09,510.0458,8.446481,191.3033,55,"New Zealand","South Island",0,7,1,0,6,172.5194,-41.443377493
34,0,0,0,0,0,0,0,0,28.09506,78118.18,482.1355,10.19464,203.293,55,"New Zealand","South Island",0,6,1,0,5,172.2894,-41.243377493
35,0,0,0,0,0,0,0,0,30.46825,90907.91,288.6903,10.17058,290.6218,55,"New Zealand","South Island",0,4,2,0,2,170.9294,-42.943377493
36,0,0,0,0,0,0,0,0,24.16588,63777.21,672.4995,8.478637,272.6391,55,"New Zealand","South Island",0,3,2,0,1,170.9994,-43.023377493
37,0,0,0,0,0,0,0,0,28.563,82553.02,386.7047,9.347963,252.0322,55,"New Zealand","South Island",0,2,1,0,1,171.8994,-42.513377493
38,0,0,0,0,0,0,0,0,30.67593,51561.3,1207.595,5.98776,124.715,55,"New Zealand","South Island",0,5,0,0,5,173.1394,-41.953377493
39,0,0,0,0,0,0,0,0,28.88225,61210.32,873.3679,8.399368,212.9934,55,"New Zealand","South Island",0,6,1,0,5,172.2794,-41.543377493
